[01:26:50.647] [INFO] ============================================================
[01:26:50.647] [INFO] 🎓 Dil Evi — English Lesson (DEBUG MODE)
[01:26:50.648] [INFO] ============================================================
[01:26:50.648] [INFO] Log file: debug_20260419_012650.log
[01:26:50.648] [INFO] Teacher: Amelia
[01:26:50.650] [INFO] Level: A2
[01:26:50.651] [DEBUG] Mic thread started
[01:26:50.662] [INFO] Microphone stream opened
[01:26:50.696] [DEBUG] VAD: is_speech=True, energy=0.0193, is_playing=False
[01:26:50.696] [INFO] 🔴 Recording started
[01:26:50.726] [DEBUG] Recording: energy=0.0179, frames=1, silent=0
[01:26:50.727] [DEBUG] VAD: is_speech=True, energy=0.0179, is_playing=False
[01:26:50.751] [DEBUG] Transcription thread started
[01:26:50.757] [DEBUG] Recording: energy=0.0195, frames=2, silent=0
[01:26:50.757] [DEBUG] VAD: is_speech=True, energy=0.0195, is_playing=False
[01:26:50.777] [DEBUG] Recording: energy=0.0191, frames=3, silent=0
[01:26:50.777] [DEBUG] VAD: is_speech=False, energy=0.0191, is_playing=False
[01:26:50.807] [DEBUG] Recording: energy=0.0190, frames=4, silent=1
[01:26:50.809] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:50.838] [DEBUG] Recording: energy=0.0184, frames=5, silent=2
[01:26:50.839] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:50.852] [DEBUG] GPT thread started
[01:26:50.869] [DEBUG] Recording: energy=0.0190, frames=6, silent=3
[01:26:50.870] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:50.900] [DEBUG] Recording: energy=0.0184, frames=7, silent=4
[01:26:50.900] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:50.930] [DEBUG] Recording: energy=0.0168, frames=8, silent=5
[01:26:50.930] [DEBUG] VAD: is_speech=False, energy=0.0168, is_playing=False
[01:26:50.952] [DEBUG] Playback thread started
[01:26:50.960] [DEBUG] Recording: energy=0.0178, frames=9, silent=6
[01:26:50.960] [DEBUG] VAD: is_speech=False, energy=0.0178, is_playing=False
[01:26:50.991] [DEBUG] Recording: energy=0.0176, frames=10, silent=7
[01:26:50.991] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:51.021] [DEBUG] Recording: energy=0.0172, frames=11, silent=8
[01:26:51.021] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:51.051] [DEBUG] Recording: energy=0.0194, frames=12, silent=9
[01:26:51.053] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:51.053] [INFO] All threads started
[01:26:51.081] [DEBUG] Recording: energy=0.0185, frames=13, silent=10
[01:26:51.083] [DEBUG] VAD: is_speech=False, energy=0.0185, is_playing=False
[01:26:51.113] [DEBUG] Recording: energy=0.0189, frames=14, silent=11
[01:26:51.113] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:51.142] [DEBUG] Recording: energy=0.0193, frames=15, silent=12
[01:26:51.144] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:51.174] [DEBUG] Recording: energy=0.0175, frames=16, silent=13
[01:26:51.174] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:51.204] [DEBUG] Recording: energy=0.0173, frames=17, silent=14
[01:26:51.204] [DEBUG] VAD: is_speech=False, energy=0.0173, is_playing=False
[01:26:51.234] [DEBUG] Recording: energy=0.0179, frames=18, silent=15
[01:26:51.234] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:51.264] [DEBUG] Recording: energy=0.0179, frames=19, silent=16
[01:26:51.266] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:51.295] [DEBUG] Recording: energy=0.0202, frames=20, silent=17
[01:26:51.295] [DEBUG] VAD: is_speech=False, energy=0.0202, is_playing=False
[01:26:51.326] [DEBUG] Recording: energy=0.0167, frames=21, silent=18
[01:26:51.327] [DEBUG] VAD: is_speech=False, energy=0.0167, is_playing=False
